,100,200,300,400,500,600,700,800,900,1000
0,6.88,0.00,6.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
2,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45
7,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80
8,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
9,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13
10,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96
11,1.56,4.10,4.10,1.56,1.56,1.56,0.00,1.56,2.24,2.24
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
14,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95
19,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13
20,1.14,0.00,4.99,1.08,0.00,4.99,0.00,0.00,0.00,0.00
21,5.18,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04
22,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30
23,3.42,3.42,3.42,7.10,7.10,7.10,3.42,7.10,7.10,7.10
24,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41
25,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
26,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80
27,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,6.67,6.67,6.34,6.67,6.34,6.49,6.34,6.34,6.34,6.34
31,6.50,0.00,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50
32,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14
33,6.12,3.73,5.61,5.75,3.73,3.73,3.73,3.73,4.99,3.73
34,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94
35,1.96,1.96,6.19,1.96,1.96,1.96,6.19,1.96,6.19,6.23
36,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
